City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
Ushuaia,75,100,-54.8,-68.3,33.8,33.33
Hermanus,0,96,-34.42,19.23,46.34,2.59
Dikson,20,100,73.51,80.55,-2.99,12.77
Takoradi,48,100,4.88,-1.76,79.91,8.08
Saint-Philippe,0,83,-21.36,55.77,74.35,6.93
Hithadhoo,76,100,-0.6,73.08,82.79,10.76
Jamestown,56,100,-15.94,-5.72,67.44,15.01
Qaanaaq,24,100,77.48,-69.36,-3.62,10.76
Port Alfred,0,99,-33.59,26.89,58.49,5.84
San Andres,20,70,12.58,-81.7,84.2,10.29
Pangody,48,74,65.85,74.49,-2.72,5.95
Fort-Shevchenko,64,100,44.51,50.26,45.53,21.83
Port-Gentil,90,88,-0.72,8.78,77.0,4.7
Saint-Augustin,68,100,51.23,-58.65,37.02,12.77
Klerksdorp,0,50,-26.85,26.67,45.44,3.27
Narsaq,56,62,60.92,-46.05,21.2,4.7
Kibondo,48,83,-3.59,30.72,60.38,4.05
Renigunta,48,96,13.65,79.52,74.19,2.93
Les Cayes,64,100,18.2,-73.75,78.51,7.63
Tasiilaq,0,52,65.61,-37.64,19.4,3.36
Longyearbyen,40,58,78.22,15.64,24.8,18.34
Bredasdorp,0,77,-34.53,20.04,60.8,2.24
Vila Velha,0,78,-20.33,-40.29,78.8,19.46
Umm Lajj,48,100,25.02,37.27,72.44,5.84
Uruguaiana,0,32,-29.75,-57.09,69.8,11.41
Upernavik,0,100,72.79,-56.15,7.28,11.21
Georgetown,68,100,-7.93,-14.42,75.05,16.02
La Rioja,0,44,-29.41,-66.85,67.58,4.16
Surt,12,100,31.21,16.59,62.27,8.75
Bilma,0,35,18.69,12.92,57.59,4.83
Saint-Joseph,0,83,-21.37,55.62,74.39,6.93
Lagoa,76,99,39.05,-27.98,67.31,20.27
Rio Gallegos,40,39,-51.62,-69.22,44.6,34.45
Mar del Plata,0,48,-38.0,-57.56,60.8,6.93
Cayeli,56,65,41.09,40.73,26.45,1.7
Viedma,36,28,-40.81,-63.0,67.31,10.76
Albany,80,92,-35.02,117.89,62.63,0.36
Kotelnikovo,92,95,47.63,43.15,43.32,10.76
Mushie,32,100,-3.02,16.9,71.67,2.82
Xuddur,0,50,4.12,43.89,60.83,4.61
Saint George,40,56,32.38,-64.68,68.0,6.93
Havre-Saint-Pierre,90,88,50.23,-63.6,32.0,6.93
San Rafael,0,17,-34.62,-68.33,69.83,4.72
Taltal,0,79,-25.4,-70.48,57.86,1.92
Killybegs,92,100,54.63,-8.45,44.09,3.71
Sar-e Pul,0,76,36.22,65.93,20.91,4.38
Qandala,76,100,11.47,49.87,68.03,4.5
Port Elizabeth,0,87,-33.92,25.57,57.2,4.7
Bambous Virieux,40,88,-20.34,57.76,75.2,4.7
Clyde River,40,75,70.47,-68.59,-16.61,4.7
Bayshore Gardens,1,68,27.43,-82.59,72.99,5.82
Bathsheba,40,78,13.22,-59.52,82.4,17.22
Marsa Matruh,0,82,31.35,27.25,55.4,6.93
Busselton,64,100,-33.65,115.33,61.86,4.5
Kachiry,76,90,53.07,76.1,26.76,10.42
Margate,0,87,-30.86,30.37,65.96,1.92
Mahebourg,40,88,-20.41,57.7,75.2,4.7
Danville,75,55,36.59,-79.4,61.93,8.05
Presidente Epitacio,88,98,-21.76,-52.12,71.36,2.26
Ous,88,90,60.91,61.52,23.57,5.17
Cape Town,0,93,-33.93,18.42,57.2,3.36
Salalah,0,65,17.02,54.09,78.8,4.7
Karpathos,68,68,35.51,27.21,66.2,11.41
Punta Arenas,56,100,-53.15,-70.92,39.95,34.69
Arrifes,40,82,37.77,-25.7,66.2,8.05
Sinnamary,76,93,5.38,-52.95,81.44,12.1
Klaksvik,32,69,62.23,-6.59,37.4,18.34
Veraval,0,80,20.9,70.37,71.22,17.58
Bhatkal,92,100,13.97,74.57,75.95,4.38
Saint-Pierre,75,100,46.77,-56.17,39.2,5.82
Arraial do Cabo,48,82,-22.97,-42.03,77.52,21.39
Hit,76,83,33.64,42.83,53.18,5.28
Adrar,0,35,27.87,-0.29,57.2,9.17
Victoria,40,88,-4.62,55.45,77.0,3.36
Wladyslawowo,40,93,54.79,18.4,35.6,11.41
Talas,80,64,38.69,35.55,37.4,1.12
Grand Gaube,40,88,-20.01,57.66,75.2,4.7
Conde,20,78,-7.26,-34.91,78.8,9.17
Miraflores,44,63,1.34,-71.95,83.78,3.38
Necochea,0,75,-38.55,-58.74,52.1,7.18
Limoges,0,80,45.83,1.26,39.2,5.82
Kruisfontein,0,95,-34.0,24.73,55.92,4.16
Silla,20,71,39.37,-0.42,51.8,8.05
Trebinje,0,54,42.71,18.34,51.15,5.82
Ribeira Grande,75,94,38.52,-28.7,68.0,10.29
Grajau,12,88,-5.82,-46.14,74.51,1.48
Kosh-Agach,20,49,50.0,88.67,-14.06,2.71
Kjopsvik,0,63,68.1,16.37,28.4,6.93
Mehamn,80,74,71.04,27.85,18.44,2.93
Jaque,68,99,7.52,-78.17,72.53,1.48
Nouadhibou,64,82,20.93,-17.03,68.0,10.29
Iqaluit,40,56,63.75,-68.51,12.2,16.11
Naruja,0,87,41.91,41.95,55.51,4.7
Doka,0,41,13.52,35.77,71.9,7.07
Ostrovnoy,80,89,68.05,39.51,24.2,5.39
Ilulissat,0,54,69.22,-51.1,-0.41,3.36
Bongandanga,64,98,1.5,21.05,70.86,2.37
Buraydah,20,37,26.33,43.98,68.0,3.15
Ponta do Sol,0,100,17.2,-25.09,76.13,13.56
Kavaratti,0,100,10.57,72.64,82.52,3.6
Kashi,0,71,39.45,75.98,32.0,8.95
Nanortalik,56,97,60.14,-45.24,28.74,35.03
Crisan,80,100,44.97,29.47,46.4,1.12
Manga,44,87,-14.76,-43.93,73.34,0.02
Velyka Bahachka,92,96,49.79,33.72,33.74,5.39
Torbay,90,93,47.67,-52.73,41.0,11.41
Souillac,40,88,-20.52,57.52,75.2,4.7
Marrakesh,0,58,31.63,-8.01,59.0,8.05
Namibe,0,100,-15.2,12.15,69.47,0.69
Sao Joao da Barra,0,73,-21.64,-41.05,77.0,25.28
Amudat,0,85,1.95,34.95,57.99,4.38
Kirkland Lake,90,100,48.14,-80.04,28.4,9.17
Tetouan,20,67,35.57,-5.37,60.4,16.11
Tobane,0,60,-21.95,27.9,65.42,11.77
Carnarvon,0,39,-30.97,22.13,42.47,2.82
Kargasok,64,83,59.06,80.86,21.41,6.06
Chirongui,76,88,-12.93,45.15,77.0,3.04
Honningsvag,20,100,70.98,25.97,25.77,3.04
Ilhabela,56,93,-23.78,-45.36,75.5,12.66
Hambantota,24,100,6.12,81.12,78.92,6.17
Tara,64,87,56.89,74.37,19.25,7.63
Livingstone,24,83,-17.84,25.85,63.35,3.38
Rudbar,0,80,30.15,62.6,32.66,4.72
Alta Floresta,8,91,-9.88,-56.09,77.93,1.92
Turayf,0,36,31.67,38.66,62.6,16.11
Lecce,20,93,40.36,18.17,56.62,9.17
Rawson,92,62,-43.3,-65.1,63.8,28.1
Pudozh,92,97,61.81,36.53,35.81,14.34
Dolores,0,48,-36.31,-57.68,54.21,6.62
Qasigiannguit,0,54,68.82,-51.19,-0.41,3.36
Omboue,80,100,-1.57,9.26,78.02,4.38
Hamilton,40,56,32.29,-64.78,68.0,6.93
Chuy,0,77,-33.7,-53.46,54.53,10.65
Severodvinsk,90,100,64.56,39.83,33.8,8.95
Pascagoula,90,88,30.37,-88.56,74.35,5.82
Omaruru,0,42,-21.43,15.93,59.3,3.6
Bhakkar,0,92,31.63,71.07,51.42,3.6
Boizenburg,75,93,53.38,10.72,37.89,13.87
Awbari,80,42,26.59,12.78,44.99,4.16
Kudahuvadhoo,92,100,2.67,72.89,82.97,6.4
Coquimbo,0,97,-29.95,-71.34,59.34,5.73
Marquette,90,86,46.54,-87.4,35.04,18.34
Cumra,32,86,37.57,32.77,39.2,2.93
Dalvik,40,85,65.97,-18.53,17.6,6.93
Hun,24,75,29.13,15.95,38.64,2.71
